CELL_LINE_NAME	n	nearest_train_cosine	mae	rmse	mean_prediction_std	mean_signed_error
snu16	14	0.9162701964378357	0.8270623609125541	1.0918625388297079	0.6480872	-0.7283728475294237
f36p	16	0.921271026134491	0.8436673664375185	1.0556261290617057	0.5369547	-0.46569422739097344
hcc1954	15	0.9216175675392151	0.697223370229911	0.8026888244140373	0.55669427	-0.5389361525905513
kms12bm	15	0.9224059581756592	0.6174013647716369	0.716631917346817	0.5504126	-0.5324160728875283
zr7530	15	0.9229038953781128	0.8427762273250866	1.0406652140575725	0.79837	-0.8427762273250866
lp1	16	0.924611508846283	0.8300270990189081	0.9937171827531752	0.65466136	-0.5864682238882167
jurkat	16	0.9254055619239807	0.766976206600666	1.0490301593291829	1.0352141	-0.26478433370590204
hut78	15	0.9254636168479919	0.9109371904485144	1.200401261932494	0.495688	-0.9109371904485144
kms34	16	0.926803469657898	0.8838548998342028	1.1036908258748073	0.6886675	-0.7784451261957253
kms26	16	0.9271966218948364	0.8894895042781239	1.0844417454420707	0.62809074	-0.7705500078580108
ht	15	0.9272997379302979	0.6067898226800694	0.769392693008545	0.69426733	-0.23063810295096374
ocily10	13	0.9274449944496155	0.48156872710754	0.5867134371859747	0.38252437	-0.25912170430443954
uacc812	15	0.9275233149528503	0.6371502906086687	0.81391327310276	0.6027371	-0.6371502906086687
mcf7	15	0.9278227686882019	0.9225020724196005	1.1818433945284812	0.6267746	-0.6988995765842279
kasumi2	16	0.9278959035873413	0.8800348158513129	1.1080199732956881	0.69874686	-0.7694054175455981
kyse410	16	0.9282060861587524	0.6282751107513442	0.7792860313314297	0.6703774	-0.48164468332424343
ko52	16	0.9283086061477661	1.118174870691734	1.3666829820699256	0.6038604	-1.0859099575426583
amo1	16	0.9283615350723267	0.8326306921359363	1.0064611786131747	0.6442188	-0.8043760478671489
kym1	13	0.9283649921417236	0.4094045702869847	0.5028069992020439	0.6895392	-0.34360909210782137
colo677	16	0.9285494089126587	0.6694288097202146	0.8907384869769249	0.17823687	-0.3286021727096772
hs852t	16	0.9286191463470459	0.4320370572183838	0.5389757576604514	0.583067	-0.29188554605190575
calu3	15	0.928665041923523	0.6389644233754159	0.8015675243908639	0.6357832	-0.2881064016329368
colo320	16	0.9286677837371826	0.5650724430860534	0.6830748022281156	0.607083	-0.2984796329544518
vmrclcd	14	0.9288024306297302	0.7563881279399688	0.9085844567077985	0.5811197	-0.6720809588860641
sknbe2	15	0.9288663864135742	0.7754638833799352	0.9580543194371246	0.39976344	-0.6516511588393453
em2	16	0.9288895726203918	1.1411751521048714	1.321840764518982	0.70258284	-1.1411751521048714
hec59	16	0.9289969205856323	0.5532405182719229	0.8214177909201803	1.0281389	-0.2470645892620087
kg1	16	0.9291672110557556	0.5895094332895534	0.7076826284047703	0.47484675	-0.5769037983211287
jvm3	16	0.9294731020927429	0.8896321525959918	1.0978368157872282	0.70494187	-0.7059615772932403
cmk86	16	0.9295249581336975	0.6022906852626069	0.7271604873702188	0.17823687	-0.4944341557991242
mj	15	0.9296025037765503	0.6922937316197164	0.8274009502445635	0.49077418	-0.35998452495308697
rpmi8402	15	0.929725706577301	0.7624376780867917	1.0432195639146127	0.80323976	-0.530115334620796
u87mg	15	0.9297658801078796	0.4619405744545328	0.5248656830393164	0.32976758	-0.27932680683297
sima	15	0.929829478263855	0.5976330072768162	0.8189500822244381	0.50871927	-0.517161437451924
skmel31	15	0.929908812046051	0.5257355487763811	0.6231681719397543	0.7584744	-0.13682155742170868
molp8	16	0.9300264120101929	0.5290497000088084	0.7027541738595838	0.58841497	-0.38780345470105004
skmel24	15	0.9300411343574524	0.5491586651648188	0.651937311379743	0.5703873	-0.5211674031494581
hec1b	16	0.9301181435585022	0.6221630016465981	0.7660188715908818	0.8367079	-0.4956105888386567
sknfi	13	0.9302310347557068	0.4524882629010041	0.5536568019593691	0.45483276	-0.1274126722847141
kmbc2	16	0.9302536845207214	0.5534417874173564	0.6875060685828515	0.6953291	-0.5353706959122999
bt474	15	0.9302730560302734	0.6823587906236014	0.8231000589180297	0.81479836	-0.6823587906236014
capan2	16	0.9302915930747986	0.9493652115263865	1.2025950460238004	0.5159363	-0.9459118537202013
eb2	15	0.9302946925163269	0.4871548853353713	0.5564980623321061	0.6035212	-0.279729944345635
cama1	16	0.9303948879241943	0.45243091254497186	0.6356053993739945	0.6723839	-0.3105985949416113
kns42	16	0.9304468631744385	0.5223085184560377	0.696243242157333	0.6266934	-0.20432171055502701
ociaml5	16	0.9304980635643005	0.6642151595652104	0.9350236378472431	0.9443254	-0.37709196701645864
a172	16	0.9304994940757751	0.45465029314872374	0.5725722037191122	0.49661613	-0.357510433895887
te617t	15	0.9305223226547241	1.1020016572648388	1.2218371365700034	0.5747257	-1.1020016572648388
p12ichikawa	16	0.9305707216262817	0.7742608017342316	1.0480585612087971	0.59447044	-0.6401249406183002
opm2	16	0.9306421875953674	0.6313270968053813	0.9182610845746657	0.7386937	-0.2025616023805379
eb1	15	0.9306819438934326	0.4904392049630195	0.5438695501099087	0.6262172	-0.3343079553773341
p31fuj	16	0.9307824969291687	0.6793184392394687	0.8862054315788985	0.68555754	-0.6501543179949076
sjrh30	14	0.9309088587760925	0.5887361461571194	0.6946388730649415	0.5602294	-0.4887164561492286
bdcm	15	0.9309918880462646	0.6281837530772717	0.7931430862699802	0.6736754	-0.34473984530416235
p3hr1	15	0.9310738444328308	0.41714319549821594	0.503813636298078	0.6467174	-0.2810155830538854
sigm5	15	0.9311345219612122	1.3837670882344606	1.758766958458825	0.54691875	-1.08050565450257
mec1	16	0.931144654750824	0.5125892431129937	0.6854079218192718	0.567449	-0.40616273523319923
u937	15	0.9312354326248169	0.6285316331100315	0.8141680733763336	0.540301	-0.5537765765062278
jmsu1	16	0.9312523603439331	0.7225592429409353	0.8820685289531182	0.6247778	-0.6920134785124823
en	16	0.9312594532966614	0.44976288497447964	0.5787953806218622	0.93095434	-0.227158422768116
ten	15	0.9313365817070007	0.46513079258708173	0.5401878234309451	0.57638246	-0.2227767121382988
l363	16	0.9314119815826416	0.8813474979963467	1.0859616373255578	0.46010718	-0.7937798973354859
karpas620	16	0.9315041899681091	0.7959488196807742	1.0090259876360566	0.49981922	-0.7959488196807742
tccsup	15	0.931559145450592	0.7307917466875667	0.8934933437653694	0.59752655	-0.651079671577532
msto211h	15	0.931564211845398	0.41589547257978193	0.4993467617424096	0.32380104	-0.3839180972304386
jhh2	16	0.931585967540741	0.5990564293994661	0.6908586788224713	0.62937176	-0.359578732276428
mdamb175vii	15	0.9316062331199646	0.6550902645560266	0.7698780271173147	0.71257895	-0.4690577263755909
khm1b	16	0.9316968321800232	0.8618796961362686	1.036545363418742	0.6005499	-0.7004589472896091
l428	16	0.9317272305488586	0.4186708128446004	0.5232641662711655	0.6079588	-0.2943756959789342
colo205	15	0.9317310452461243	0.8200440891128894	1.0937407467705564	0.5394897	-0.798282174635329
ov90	16	0.931833803653717	0.8593205313230912	1.0397646140771497	0.55265725	-0.8593205313230912
kmrc2	16	0.931888222694397	0.5224098723917758	0.6474424041036991	0.6119345	-0.1182146183669002
sw780	15	0.9319281578063965	0.5322327563135104	0.6801520188484902	0.5780229	-0.47221039761009803
umuc3	15	0.9319945573806763	0.511374563774665	0.5972716065515552	0.5327702	-0.38320624177081675
raji	15	0.9320271015167236	0.41457860163682764	0.5319389067374376	0.5841103	-0.19207738028034285
t3m10	15	0.9320608377456665	0.5069384361264099	0.6378691792802162	0.6568681	-0.47946404005350335
hec6	16	0.9320611357688904	0.43665008053183546	0.6154993664291843	0.9604732	-0.3014931903779506
skov3	15	0.9320775270462036	0.7483027070475714	0.8497857163635323	0.7450302	-0.6290049312526865
mdamb453	16	0.9320974349975586	0.7246816162841405	0.9387492929954827	0.6839463	-0.6820352018910799
dohh2	16	0.9321065545082092	0.7016349307218699	0.9036924581789924	0.466043	-0.5740475826103653
mdamb415	15	0.9321110248565674	0.6689171410615666	0.8168500594103688	0.75583047	-0.34383183696404385
istmes2	16	0.9321229457855225	0.7882205037227598	1.0283196418292058	0.50400156	-0.6830455262275301
