DRUG_NAME	n	pearson_r	spearman_r	mae	mean_signed_error
crizotinib	434.0	0.10619879328830518	0.12670804027498467	0.6372407482609963	-0.6240473597357615
lapatinib	434.0	0.25069078997080985	0.24295610859241196	0.5916406216813183	-0.5890162531985018
pd0325901	434.0	0.37707581430258014	0.33332081845174516	0.7961513835396237	0.1829258915229848
saracatinib	434.0	0.1813112775603446	0.13023138204459261	0.264331366773086	-0.2336264776128052
topotecan	434.0	0.316054327335057	0.2892903261830528	0.664864982111033	-0.4761151750170632
erlotinib	433.0	0.2538707842258221	0.14077992251363122	0.35380421378420923	-0.34904652861932833
paclitaxel	433.0	0.11755221435856474	0.19543926236636322	1.1410464379591863	-0.5135265568845981
selumetinib	433.0	0.3776521326623861	0.3384502432508606	0.5273592326198115	-0.509150532301358
sorafenib	433.0	0.16184340184704993	0.1934165943229612	0.38298201981531454	-0.37436311295878855
tanespimycin	433.0	0.2537827674478707	0.2995824519933522	0.613140669363463	-0.41105170700717586
panobinostat	432.0	0.24524656213602664	0.25919227365324327	0.2970704913891794	0.01691231706579461
plx4720	426.0	0.25353580327042546	0.18146996164792253	1.1725492671322357	-1.1725492671322357
palbociclib	368.0	0.20396029043335395	0.2028571817309889	0.6408407242274083	-0.6390095102988352
nilotinib	354.0	0.1665310568401197	0.12894026595570549	0.6603396088909367	-0.6345599491795632
pha665752	322.0	-0.04082940358358652	0.04230193058743546	0.37072819860729644	-0.3693782191516135
irinotecan	276.0	0.3697473636030918	0.3390845994922543	1.663103534396711	-1.663103534396711
