DRUG_NAME	n	pearson_r	spearman_r	mae	mean_signed_error	match_status	match_column	compound_name	preferred_name	compound_class	target_count	target_count_bucket	primary_target	target_preview
crizotinib	434.0	0.1061987932883051	0.1267080402749846	0.6372407482609963	-0.6240473597357615	matched	COMPOUND_NAME	Crizotinib	CRIZOTINIB	Kinase inhibitors	392	broad	ALK tyrosine kinase receptor	ALK tyrosine kinase receptor | ALK tyrosine kinase receptor | ALK tyrosine kinase receptor
lapatinib	434.0	0.2506907899708098	0.2429561085924119	0.5916406216813183	-0.5890162531985018	matched	COMPOUND_NAME	Lapatinib	LAPATINIB	Kinase inhibitors	152	broad	ATP-binding cassette sub-family G member 2	ATP-binding cassette sub-family G member 2 | Epidermal growth factor receptor erbB1 | Epidermal growth factor receptor erbB1
pd0325901	434.0	0.3770758143025801	0.3333208184517451	0.7961513835396237	0.1829258915229848	matched	COMPOUND_NAME	PD0325901		Kinase inhibitors	1	single	Dual specificity mitogen-activated protein kinase kinase 1	Dual specificity mitogen-activated protein kinase kinase 1
saracatinib	434.0	0.1813112775603446	0.1302313820445926	0.264331366773086	-0.2336264776128052	matched	COMPOUND_NAME	Saracatinib	SARACATINIB	Kinase inhibitors	85	broad	Tyrosine-protein kinase YES	Tyrosine-protein kinase YES | Tyrosine-protein kinase SRC | Tyrosine-protein kinase SRC
topotecan	434.0	0.316054327335057	0.2892903261830528	0.664864982111033	-0.4761151750170632	matched	COMPOUND_NAME	Topotecan	TOPOTECAN	Transporter inhibitors	22	broad	Hypoxia-inducible factor 1 alpha	Hypoxia-inducible factor 1 alpha | DNA topoisomerase I | DNA topoisomerase I
erlotinib	433.0	0.2538707842258221	0.1407799225136312	0.3538042137842092	-0.3490465286193283	matched	COMPOUND_NAME	Erlotinib	ERLOTINIB	Kinase inhibitors	512	broad	ATP-binding cassette sub-family G member 2	ATP-binding cassette sub-family G member 2 | Epidermal growth factor receptor erbB1 | Epidermal growth factor receptor erbB1
paclitaxel	433.0	0.1175522143585647	0.1954392623663632	1.1410464379591865	-0.5135265568845981	matched	COMPOUND_NAME	Paclitaxel	PACLITAXEL	Transporter inhibitors	79	broad	Cytochrome P450 3A4	Cytochrome P450 3A4 | Cytochrome P450 2C9 | Cytochrome P450 1A2
selumetinib	433.0	0.3776521326623861	0.3384502432508606	0.5273592326198115	-0.509150532301358	matched	COMPOUND_NAME	Selumetinib	SELUMETINIB	Kinase inhibitors	26	broad	Dual specificity mitogen-activated protein kinase kinase 1	Dual specificity mitogen-activated protein kinase kinase 1 | Dual specificity mitogen-activated protein kinase kinase 1 | Dual specificity mitogen-activated protein kinase kinase 1
sorafenib	433.0	0.1618434018470499	0.1934165943229612	0.3829820198153145	-0.3743631129587885	matched	COMPOUND_NAME	Sorafenib	SORAFENIB	Kinase inhibitors	535	broad	Serine/threonine-protein kinase B-raf	Serine/threonine-protein kinase B-raf | Vascular endothelial growth factor receptor 2 | Vascular endothelial growth factor receptor 2
tanespimycin	433.0	0.2537827674478707	0.2995824519933522	0.613140669363463	-0.4110517070071758	matched	COMPOUND_NAME	Tanespimycin	TANESPIMYCIN	Cytosolic inhibitors	62	broad	Heat shock protein HSP 90-alpha	Heat shock protein HSP 90-alpha | Heat shock protein HSP 90-alpha | Heat shock protein HSP 90-alpha
panobinostat	432.0	0.2452465621360266	0.2591922736532432	0.2970704913891794	0.0169123170657946	matched	COMPOUND_NAME	Panobinostat	PANOBINOSTAT	Epigenetic regulator inhibitors	152	broad	Human immunodeficiency virus type 1 Tat protein	Human immunodeficiency virus type 1 Tat protein | Histone deacetylase 6 | Histone deacetylase 1
plx4720	426.0	0.2535358032704254	0.1814699616479225	1.1725492671322355	-1.1725492671322355	matched	COMPOUND_NAME	PLX-4720	PLX-4720	Kinase inhibitors	114	broad	Serine/threonine-protein kinase RAF	Serine/threonine-protein kinase RAF | Serine/threonine-protein kinase B-raf | Serine/threonine-protein kinase B-raf
palbociclib	368.0	0.2039602904333539	0.2028571817309889	0.6408407242274083	-0.6390095102988352	matched	COMPOUND_NAME	Palbociclib	PALBOCICLIB	Kinase inhibitors	69	broad	Cyclin-dependent kinase 4	Cyclin-dependent kinase 4 | Cyclin-dependent kinase 4 | Cyclin-dependent kinase 2
nilotinib	354.0	0.1665310568401197	0.1289402659557054	0.6603396088909367	-0.6345599491795632	matched	COMPOUND_NAME	Nilotinib	NILOTINIB	Ion channel inhibitors	160	broad	MAP kinase p38 alpha	MAP kinase p38 alpha | Tyrosine-protein kinase ABL | Discoidin domain-containing receptor 2
pha665752	322.0	-0.0408294035835865	0.0423019305874354	0.3707281986072964	-0.3693782191516135	matched	COMPOUND_NAME	PHA-665752	PHA-665752	Kinase inhibitors	206	broad	Hepatocyte growth factor receptor	Hepatocyte growth factor receptor | Macrophage-stimulating protein receptor | Vascular endothelial growth factor receptor 2
irinotecan	276.0	0.3697473636030918	0.3390845994922543	1.663103534396711	-1.663103534396711	matched	COMPOUND_NAME	Irinotecan	IRINOTECAN	Transporter inhibitors	17	moderate	Muscarinic acetylcholine receptor M4	Muscarinic acetylcholine receptor M4 | Acetylcholinesterase | Multidrug and toxin extrusion protein 1
