TISSUE_CODE	TISSUE_DISPLAY	n	pearson_r	spearman_r	mae	mean_signed_error
pleural_effusion	Pleural Effusion	786.0	0.7207309562475049	0.5765881471698564	0.6638983412861827	-0.4649847714074092
haematopoietic_and_lymphoid_tissue	Haematopoietic and Lymphoid Tissue	517.0	0.6891255007242734	0.5364135877277435	0.7503814501490131	-0.5718154580117423
central_nervous_system	Central Nervous System	508.0	0.812698856291853	0.678010522576551	0.5743150677763672	-0.42418990651571103
ascites	Ascites	505.0	0.7539762967005654	0.6150232554683038	0.6736788859334435	-0.5210129195828388
skin	Skin	422.0	0.7582666393359022	0.6498597256278954	0.7048956543510511	-0.5580549839508843
liver	Liver	355.0	0.7412936370131502	0.6141098279802825	0.6494265294069405	-0.46161225218672075
lymph_node	Lymph Node	334.0	0.7223127660955119	0.5957750083180525	0.6751856533166527	-0.49022297554707844
lung	Lung	315.0	0.7915325493009316	0.6897514406663319	0.626876196692237	-0.47785456029538154
endometrium	Endometrium	284.0	0.798196525168567	0.6739160942554475	0.526244467997914	-0.35860913407355255
pancreas	Pancreas	224.0	0.8094830560299408	0.6829712196207532	0.7170265963637946	-0.6467785049787544
bone_marrow	Bone Marrow	223.0	0.732553985906761	0.613102697519005	0.7598199081166358	-0.6451465540211762
large_intestine	Large Intestine / Colon	223.0	0.7253691040659193	0.6487747462069279	0.6580314496096267	-0.5244067028775321
ovary	Ovary	214.0	0.8203684142155678	0.7052384558957623	0.600300082295756	-0.47976219270631376
urinary_tract	Urinary Tract	199.0	0.7714510293844389	0.6505553615839694	0.6525427012185802	-0.5016181360935279
breast	Breast	199.0	0.743152305265135	0.5736856488228131	0.6754583505744418	-0.48682043093477306
oesophagus	Oesophagus	189.0	0.8270867217286086	0.7459463416019579	0.5843858510973133	-0.45234504130614406
soft_tissue	Soft Tissue	174.0	0.767033168242012	0.6390630949670781	0.6800531448785255	-0.53532427523469
bone	Bone	164.0	0.819357108661214	0.6666311518926517	0.5923002694501461	-0.45304408605223834
kidney	Kidney	152.0	0.7634787399694603	0.6183310307899297	0.5630900129474463	-0.33511776844584373
upper_aerodigestive_tract	Upper Aerodigestive Tract	83.0	0.8004934224919549	0.7158897220821976	0.6382176426996398	-0.4874995335318747
thyroid	Thyroid	78.0	0.7391892391469425	0.5597516515130763	0.724606834486383	-0.617055540835424
stomach	Stomach	72.0	0.8528792827153375	0.7295886679635327	0.6176690753574188	-0.5555870357386934
abdomen	Abdomen	62.0	0.7272703294216191	0.49972619920621203	0.6055848420902038	-0.3299716794901489
fibroblast	Fibroblast	62.0	0.7690709622664206	0.541136668487521	0.5384806619383272	-0.25660174056062923
autonomic_ganglia	Autonomic Ganglia	44.0	0.7827157100065567	0.6768260064595795	0.6655018619142724	-0.565623352684684
pleura	Pleura	32.0	0.6698946821832636	0.39160896260297223	0.7322387385522505	-0.5491546163840707
spleen	Spleen	29.0	0.7298578247273978	0.6854810769278599	0.6520406206475322	-0.4125009563346739
small_intestine	Small Intestine	16.0	0.7903746167210204	0.7642642355539611	0.7615890305407744	-0.6860215010963655
blood	Blood	16.0	0.556609385836007	0.35786072079181325	0.6694288088252864	-0.3286021698463655
pericardial_effusion	Pericardial Effusion	16.0	0.8388845650860303	0.6361762282940994	0.7246816179587928	-0.6820351785603916
prostate	Prostate	16.0	0.7589112725485155	0.4429671515529285	0.667091119718922	-0.5279216657785304
